con1,region,tam_loc,tiene_sistema_tren,sexo,edad,escolaridad,ingreso_familiar,condicion_actividad,tiene_auto,modo_principal,tp_eficiente,tp_rapido,tp_barato,tp_seguro,tp_comodo,contamina_su_modo,contamina_aire
401,region_1,15mil_99999,no,mujer,35-44,secundaria,5-6sm,no_ocupado,no,ninguno,eficiente,lento,barato,seguro,incomodo,algo,algo
402,region_1,15mil_99999,no,mujer,18-24,secundaria,4-5sm,no_ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,poco,poco
403,region_1,15mil_99999,no,mujer,45-54,primaria,3-4sm,no_ocupado,no,colectivo,eficiente,lento,barato,seguro,incomodo,poco,poco
404,region_1,15mil_99999,no,hombre,18-24,secundaria,3-4sm,no_ocupado,no,colectivo,eficiente,rapido,caro,seguro,incomodo,poco,nada
405,region_1,15mil_99999,no,mujer,18-24,preparatoria,2-3sm,no_ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,poco,nada
406,region_1,15mil_99999,no,hombre,25-34,preparatoria,5-6sm,ocupado,no,colectivo,eficiente,lento,barato,inseguro,incomodo,mucho,algo
407,region_1,15mil_99999,no,mujer,18-24,preparatoria,2-3sm,no_ocupado,no,ninguno,eficiente,rapido,caro,seguro,incomodo,algo,poco
408,region_3,100mil_mas,si,hombre,18-24,secundaria,no_declaro,ocupado,no,camion,eficiente,rapido,caro,inseguro,comodo,algo,algo
409,region_3,100mil_mas,si,mujer,35-44,secundaria,mas_6sm,ocupado,no,masivo,eficiente,rapido,barato,seguro,comodo,mucho,mucho
410,region_3,100mil_mas,si,hombre,45-54,universidad,mas_6sm,ocupado,no,masivo,eficiente,rapido,barato,seguro,comodo,no_contamina,algo
411,region_3,100mil_mas,si,hombre,35-44,secundaria,3-4sm,ocupado,no,masivo,eficiente,lento,barato,inseguro,incomodo,mucho,mucho
412,region_3,100mil_mas,si,hombre,25-34,preparatoria,mas_6sm,ocupado,no,masivo,eficiente,rapido,barato,inseguro,incomodo,mucho,algo
413,region_3,100mil_mas,si,hombre,25-34,secundaria,4-5sm,ocupado,no,masivo,eficiente,lento,caro,inseguro,incomodo,mucho,mucho
414,region_3,100mil_mas,si,hombre,45-54,ninguna,5-6sm,ocupado,no,camion,eficiente,lento,caro,inseguro,incomodo,mucho,mucho
415,region_3,100mil_mas,si,hombre,35-44,secundaria,3-4sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,mucho,mucho
416,region_3,100mil_mas,si,hombre,45-54,secundaria,mas_6sm,ocupado,no,camion,eficiente,rapido,barato,inseguro,incomodo,no_contamina,algo
417,region_3,100mil_mas,si,mujer,25-34,secundaria,5-6sm,ocupado,no,masivo,eficiente,rapido,barato,inseguro,incomodo,no_contamina,mucho
418,region_3,100mil_mas,si,hombre,45-54,preparatoria,5-6sm,ocupado,no,otros,eficiente,rapido,barato,seguro,comodo,algo,algo
419,region_4,15mil_99999,no,mujer,65+,ninguna,2-3sm,ocupado,no,demanda,eficiente,lento,barato,inseguro,comodo,algo,algo
420,region_4,15mil_99999,no,mujer,18-24,secundaria,1-2sm,no_ocupado,no,demanda,eficiente,rapido,barato,seguro,comodo,algo,algo
421,region_4,15mil_99999,no,hombre,25-34,secundaria,1-2sm,ocupado,no,demanda,eficiente,rapido,barato,inseguro,comodo,poco,algo
422,region_4,15mil_99999,no,hombre,25-34,secundaria,1-2sm,ocupado,no,demanda,eficiente,lento,barato,inseguro,incomodo,mucho,mucho
423,region_4,15mil_99999,no,mujer,18-24,secundaria,1-2sm,no_ocupado,no,demanda,eficiente,rapido,barato,inseguro,incomodo,mucho,mucho
424,region_4,15mil_99999,no,hombre,45-54,ninguna,1-2sm,ocupado,no,demanda,eficiente,rapido,caro,inseguro,incomodo,poco,poco
425,region_4,15mil_99999,no,hombre,25-34,secundaria,2-3sm,ocupado,no,camion,eficiente,rapido,barato,seguro,incomodo,poco,poco
426,region_4,15mil_99999,no,mujer,18-24,secundaria,1-2sm,no_ocupado,no,demanda,eficiente,rapido,barato,seguro,comodo,algo,mucho
428,region_4,15mil_99999,no,mujer,18-24,secundaria,1-2sm,no_ocupado,no,demanda,eficiente,rapido,barato,seguro,comodo,algo,algo
429,region_4,15mil_99999,no,hombre,35-44,secundaria,1-2sm,ocupado,no,demanda,eficiente,rapido,barato,inseguro,comodo,algo,algo
430,region_4,15mil_99999,no,mujer,25-34,primaria,1-2sm,no_ocupado,no,demanda,eficiente,rapido,barato,seguro,comodo,algo,poco
431,region_4,15mil_99999,no,mujer,35-44,primaria,1-2sm,no_ocupado,no,demanda,eficiente,rapido,barato,inseguro,comodo,algo,algo
432,region_4,15mil_99999,no,hombre,35-44,secundaria,2-3sm,ocupado,no,demanda,eficiente,lento,barato,seguro,comodo,mucho,mucho
433,region_4,15mil_99999,no,mujer,25-34,secundaria,1-2sm,no_ocupado,no,demanda,eficiente,lento,barato,inseguro,comodo,algo,algo
434,region_4,15mil_99999,no,mujer,45-54,primaria,3-4sm,no_ocupado,no,demanda,eficiente,rapido,barato,seguro,comodo,no_contamina,nada
435,region_4,15mil_99999,no,hombre,35-44,preparatoria,2-3sm,ocupado,no,demanda,eficiente,lento,barato,inseguro,comodo,no_contamina,poco
436,region_4,15mil_99999,no,hombre,25-34,secundaria,1-2sm,ocupado,no,demanda,eficiente,rapido,barato,seguro,comodo,algo,algo
437,region_4,15mil_99999,no,hombre,45-54,primaria,2-3sm,ocupado,no,demanda,eficiente,rapido,caro,inseguro,comodo,poco,poco
438,region_4,15mil_99999,no,hombre,25-34,secundaria,1-2sm,ocupado,no,demanda,eficiente,rapido,barato,seguro,comodo,algo,poco
439,region_4,menos_2500,no,hombre,18-24,preparatoria,2-3sm,no_ocupado,no,colectivo,eficiente,rapido,barato,inseguro,incomodo,algo,poco
440,region_4,menos_2500,no,hombre,35-44,preparatoria,no_declaro,ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,algo,poco
441,region_4,menos_2500,no,mujer,18-24,preparatoria,2-3sm,no_ocupado,no,colectivo,eficiente,rapido,caro,seguro,comodo,mucho,algo
442,region_1,100mil_mas,no,hombre,45-54,preparatoria,mas_6sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,nada
443,region_1,100mil_mas,no,hombre,35-44,secundaria,5-6sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,algo
445,region_1,100mil_mas,no,hombre,55-64,secundaria,mas_6sm,ocupado,no,camion,eficiente,rapido,caro,seguro,incomodo,mucho,algo
446,region_1,100mil_mas,no,hombre,45-54,secundaria,3-4sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
447,region_1,100mil_mas,no,hombre,25-34,universidad,mas_6sm,ocupado,no,masivo,eficiente,rapido,barato,seguro,comodo,algo,mucho
448,region_1,100mil_mas,no,mujer,55-64,secundaria,mas_6sm,ocupado,no,colectivo,eficiente,lento,barato,seguro,comodo,algo,nada
449,region_1,2500_14999,no,hombre,18-24,secundaria,1-2sm,ocupado,no,camion,eficiente,rapido,caro,inseguro,incomodo,mucho,mucho
450,region_1,2500_14999,no,mujer,25-34,secundaria,mas_6sm,ocupado,no,camion,eficiente,rapido,caro,inseguro,comodo,algo,algo
451,region_1,2500_14999,no,mujer,55-64,ninguna,1-2sm,no_ocupado,no,colectivo,eficiente,rapido,caro,inseguro,comodo,poco,poco
452,region_1,2500_14999,no,mujer,65+,ninguna,2-3sm,ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,poco,nada
453,region_1,2500_14999,no,mujer,25-34,secundaria,menos_1sm,no_ocupado,no,camion,eficiente,lento,caro,seguro,incomodo,algo,poco
454,region_1,100mil_mas,no,mujer,18-24,secundaria,mas_6sm,ocupado,no,camion,eficiente,rapido,caro,inseguro,incomodo,algo,algo
455,region_1,100mil_mas,no,hombre,25-34,preparatoria,3-4sm,ocupado,no,camion,eficiente,lento,caro,inseguro,incomodo,algo,algo
456,region_1,100mil_mas,no,hombre,18-24,secundaria,mas_6sm,ocupado,no,colectivo,eficiente,rapido,caro,inseguro,incomodo,algo,algo
457,region_1,100mil_mas,no,mujer,35-44,secundaria,3-4sm,ocupado,no,camion,eficiente,rapido,caro,inseguro,incomodo,algo,algo
458,region_1,2500_14999,no,hombre,18-24,preparatoria,5-6sm,ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,poco,mucho
459,region_1,2500_14999,no,mujer,25-34,preparatoria,2-3sm,no_ocupado,no,particular,eficiente,rapido,barato,inseguro,incomodo,poco,poco
460,region_1,2500_14999,no,mujer,35-44,secundaria,2-3sm,no_ocupado,no,camion,eficiente,rapido,barato,inseguro,incomodo,algo,algo
461,region_1,2500_14999,no,hombre,18-24,secundaria,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,no_contamina,mucho
462,region_1,2500_14999,no,mujer,25-34,preparatoria,3-4sm,no_ocupado,no,particular,eficiente,lento,barato,inseguro,incomodo,poco,algo
463,region_1,2500_14999,no,hombre,18-24,preparatoria,5-6sm,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,no_contamina,poco
464,region_1,2500_14999,no,hombre,25-34,preparatoria,2-3sm,ocupado,no,particular,eficiente,rapido,barato,seguro,comodo,poco,mucho
465,region_4,100mil_mas,no,hombre,18-24,preparatoria,mas_6sm,ocupado,no,particular,eficiente,rapido,barato,seguro,comodo,poco,poco
466,region_4,100mil_mas,no,hombre,18-24,preparatoria,4-5sm,ocupado,no,camion,eficiente,rapido,barato,inseguro,incomodo,poco,nada
467,region_4,100mil_mas,no,mujer,25-34,universidad,mas_6sm,ocupado,no,particular,eficiente,rapido,caro,seguro,comodo,no_contamina,nada
468,region_4,100mil_mas,no,hombre,18-24,preparatoria,mas_6sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,no_contamina,poco
469,region_4,100mil_mas,no,hombre,45-54,secundaria,3-4sm,ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,no_contamina,poco
470,region_4,100mil_mas,no,hombre,18-24,preparatoria,mas_6sm,ocupado,no,particular,eficiente,rapido,barato,inseguro,comodo,no_contamina,poco
471,region_4,100mil_mas,no,hombre,55-64,primaria,mas_6sm,ocupado,no,colectivo,eficiente,rapido,barato,inseguro,incomodo,poco,poco
472,region_4,100mil_mas,no,mujer,25-34,preparatoria,3-4sm,no_ocupado,no,masivo,eficiente,rapido,barato,inseguro,incomodo,poco,poco
473,region_4,100mil_mas,no,mujer,55-64,secundaria,4-5sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,poco
474,region_4,100mil_mas,no,mujer,18-24,preparatoria,no_declaro,no_ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,algo,algo
475,region_4,100mil_mas,no,hombre,25-34,preparatoria,5-6sm,ocupado,no,camion,eficiente,lento,barato,inseguro,incomodo,poco,algo
476,region_1,menos_2500,no,hombre,35-44,secundaria,1-2sm,ocupado,no,camion,eficiente,rapido,caro,inseguro,incomodo,poco,algo
477,region_1,menos_2500,no,hombre,35-44,preparatoria,4-5sm,ocupado,no,camion,eficiente,rapido,barato,inseguro,incomodo,algo,algo
478,region_1,menos_2500,no,hombre,55-64,primaria,4-5sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,poco
479,region_3,100mil_mas,no,hombre,25-34,secundaria,3-4sm,ocupado,no,particular,eficiente,lento,barato,inseguro,incomodo,no_contamina,algo
480,region_3,100mil_mas,no,hombre,45-54,primaria,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,algo,poco
481,region_3,menos_2500,no,hombre,35-44,ninguna,3-4sm,ocupado,no,otros,eficiente,rapido,barato,seguro,comodo,algo,poco
482,region_3,2500_14999,no,hombre,18-24,universidad,mas_6sm,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,mucho,mucho
483,region_3,2500_14999,no,hombre,18-24,secundaria,no_declaro,no_ocupado,no,particular,eficiente,rapido,barato,inseguro,incomodo,algo,algo
485,region_3,2500_14999,no,hombre,35-44,preparatoria,5-6sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,mucho,mucho
486,region_3,15mil_99999,no,mujer,25-34,secundaria,menos_1sm,ocupado,no,camion,eficiente,lento,caro,seguro,comodo,poco,algo
487,region_3,100mil_mas,no,mujer,45-54,ninguna,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,caro,inseguro,incomodo,algo,algo
488,region_3,100mil_mas,no,hombre,45-54,secundaria,1-2sm,ocupado,no,camion,eficiente,rapido,barato,seguro,incomodo,algo,algo
490,region_3,100mil_mas,no,hombre,45-54,primaria,1-2sm,ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,mucho,poco
491,region_3,100mil_mas,no,mujer,18-24,preparatoria,no_declaro,no_ocupado,no,camion,eficiente,lento,barato,seguro,incomodo,mucho,algo
492,region_3,100mil_mas,no,hombre,18-24,preparatoria,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,barato,inseguro,incomodo,no_contamina,algo
493,region_3,menos_2500,no,mujer,18-24,primaria,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,no_contamina,nada
494,region_3,menos_2500,no,hombre,35-44,secundaria,4-5sm,ocupado,no,activo,eficiente,lento,caro,inseguro,comodo,no_contamina,poco
496,region_3,15mil_99999,no,hombre,25-34,secundaria,5-6sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,mucho,algo
497,region_3,15mil_99999,no,mujer,18-24,preparatoria,no_declaro,no_ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,algo,algo
498,region_3,15mil_99999,no,mujer,25-34,secundaria,no_declaro,ocupado,no,particular,eficiente,rapido,caro,inseguro,comodo,algo,mucho
499,region_3,15mil_99999,no,hombre,18-24,primaria,3-4sm,ocupado,no,camion,eficiente,rapido,barato,inseguro,comodo,mucho,algo
500,region_3,15mil_99999,no,hombre,45-54,secundaria,no_declaro,ocupado,no,particular,eficiente,lento,caro,inseguro,incomodo,mucho,algo
501,region_3,15mil_99999,no,mujer,18-24,secundaria,3-4sm,no_ocupado,no,camion,eficiente,lento,barato,inseguro,comodo,algo,mucho
502,region_3,15mil_99999,no,hombre,18-24,preparatoria,no_declaro,no_ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,algo,algo
503,region_3,100mil_mas,no,mujer,35-44,primaria,4-5sm,ocupado,no,camion,eficiente,rapido,barato,seguro,incomodo,poco,poco
504,region_3,100mil_mas,no,hombre,25-34,preparatoria,2-3sm,ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,poco,poco
505,region_3,100mil_mas,no,hombre,25-34,preparatoria,no_declaro,ocupado,no,camion,eficiente,lento,barato,seguro,comodo,mucho,algo
507,region_3,100mil_mas,no,mujer,25-34,secundaria,2-3sm,no_ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,poco,poco
508,region_3,100mil_mas,no,mujer,25-34,secundaria,3-4sm,ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,poco,poco
509,region_3,100mil_mas,no,hombre,35-44,universidad,mas_6sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
510,region_3,100mil_mas,no,mujer,18-24,secundaria,2-3sm,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,poco
511,region_3,100mil_mas,no,hombre,25-34,secundaria,no_declaro,ocupado,no,camion,eficiente,lento,caro,seguro,incomodo,mucho,mucho
512,region_1,menos_2500,no,mujer,18-24,preparatoria,mas_6sm,no_ocupado,no,colectivo,eficiente,rapido,caro,seguro,comodo,algo,poco
513,region_1,menos_2500,no,hombre,25-34,preparatoria,2-3sm,ocupado,no,colectivo,eficiente,rapido,caro,seguro,comodo,mucho,poco
514,region_1,menos_2500,no,hombre,35-44,preparatoria,5-6sm,ocupado,no,colectivo,eficiente,rapido,caro,seguro,comodo,algo,nada
515,region_1,menos_2500,no,hombre,35-44,secundaria,2-3sm,ocupado,no,camion,eficiente,lento,caro,seguro,comodo,mucho,nada
516,region_4,2500_14999,no,mujer,35-44,preparatoria,2-3sm,no_ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,poco,poco
517,region_4,2500_14999,no,hombre,45-54,preparatoria,mas_6sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,poco,poco
518,region_4,2500_14999,no,mujer,35-44,preparatoria,menos_1sm,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,poco
519,region_4,2500_14999,no,mujer,18-24,preparatoria,1-2sm,no_ocupado,no,camion,eficiente,lento,barato,inseguro,incomodo,algo,algo
520,region_4,2500_14999,no,hombre,35-44,preparatoria,mas_6sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,algo
521,region_4,2500_14999,no,mujer,45-54,preparatoria,1-2sm,no_ocupado,no,demanda,eficiente,rapido,barato,seguro,comodo,poco,poco
522,region_4,2500_14999,no,mujer,25-34,preparatoria,1-2sm,no_ocupado,no,camion,eficiente,lento,barato,seguro,comodo,algo,algo
523,region_4,2500_14999,no,hombre,25-34,preparatoria,mas_6sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
524,region_4,2500_14999,no,mujer,25-34,primaria,1-2sm,no_ocupado,no,colectivo,eficiente,rapido,barato,inseguro,incomodo,mucho,poco
525,region_4,2500_14999,no,mujer,18-24,secundaria,no_declaro,no_ocupado,no,camion,eficiente,rapido,barato,inseguro,incomodo,algo,algo
526,region_4,2500_14999,no,hombre,35-44,secundaria,no_declaro,ocupado,no,activo,eficiente,rapido,barato,seguro,incomodo,no_contamina,poco
527,region_4,2500_14999,no,hombre,18-24,secundaria,2-3sm,no_ocupado,no,colectivo,eficiente,rapido,barato,inseguro,incomodo,algo,poco
528,region_4,2500_14999,no,mujer,25-34,preparatoria,3-4sm,no_ocupado,no,demanda,eficiente,rapido,barato,seguro,incomodo,poco,poco
529,region_4,2500_14999,no,mujer,25-34,preparatoria,menos_1sm,no_ocupado,no,demanda,eficiente,lento,barato,inseguro,incomodo,poco,poco
530,region_4,2500_14999,no,hombre,18-24,secundaria,2-3sm,ocupado,no,demanda,eficiente,rapido,barato,seguro,comodo,no_contamina,nada
531,region_4,2500_14999,no,hombre,45-54,primaria,2-3sm,ocupado,no,activo,eficiente,rapido,barato,seguro,comodo,no_contamina,nada
532,region_4,2500_14999,no,hombre,35-44,ninguna,2-3sm,ocupado,no,activo,eficiente,rapido,barato,inseguro,comodo,no_contamina,nada
534,region_4,2500_14999,no,hombre,45-54,ninguna,1-2sm,ocupado,no,demanda,eficiente,rapido,barato,seguro,comodo,no_contamina,nada
535,region_3,2500_14999,no,mujer,55-64,ninguna,2-3sm,no_ocupado,no,camion,eficiente,lento,caro,seguro,incomodo,algo,poco
536,region_3,2500_14999,no,mujer,18-24,preparatoria,1-2sm,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,algo
538,region_3,100mil_mas,no,mujer,65+,secundaria,mas_6sm,ocupado,no,ninguno,eficiente,rapido,caro,seguro,comodo,mucho,algo
539,region_3,100mil_mas,no,hombre,18-24,preparatoria,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,poco,poco
542,region_3,15mil_99999,no,mujer,18-24,ninguna,3-4sm,no_ocupado,no,particular,eficiente,lento,barato,inseguro,incomodo,mucho,mucho
543,region_1,100mil_mas,no,mujer,55-64,preparatoria,mas_6sm,ocupado,no,camion,eficiente,lento,barato,inseguro,incomodo,poco,poco
544,region_1,100mil_mas,no,hombre,65+,primaria,4-5sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
545,region_1,100mil_mas,no,mujer,55-64,primaria,no_declaro,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,mucho,mucho
546,region_1,100mil_mas,no,mujer,45-54,secundaria,mas_6sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
547,region_1,100mil_mas,no,mujer,65+,secundaria,no_declaro,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
548,region_1,100mil_mas,no,hombre,45-54,preparatoria,no_declaro,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
549,region_1,100mil_mas,no,hombre,65+,secundaria,mas_6sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
550,region_1,100mil_mas,no,hombre,55-64,secundaria,3-4sm,ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,mucho,mucho
551,region_1,100mil_mas,no,mujer,25-34,secundaria,3-4sm,no_ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,mucho,mucho
552,region_4,menos_2500,no,mujer,25-34,primaria,1-2sm,no_ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,mucho,mucho
553,region_4,menos_2500,no,mujer,45-54,primaria,2-3sm,no_ocupado,no,demanda,eficiente,rapido,barato,seguro,comodo,mucho,mucho
554,region_3,100mil_mas,no,hombre,65+,primaria,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,caro,inseguro,comodo,algo,poco
555,region_2,100mil_mas,si,hombre,65+,secundaria,1-2sm,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,mucho,mucho
556,region_2,100mil_mas,si,hombre,35-44,preparatoria,4-5sm,ocupado,no,particular,eficiente,lento,barato,seguro,comodo,poco,mucho
557,region_2,100mil_mas,si,mujer,45-54,preparatoria,4-5sm,no_ocupado,no,masivo,eficiente,lento,barato,inseguro,comodo,mucho,poco
558,region_2,100mil_mas,si,mujer,18-24,ninguna,3-4sm,no_ocupado,no,camion,eficiente,rapido,barato,inseguro,incomodo,mucho,mucho
559,region_2,100mil_mas,si,mujer,45-54,preparatoria,3-4sm,no_ocupado,no,masivo,eficiente,rapido,barato,seguro,incomodo,no_contamina,algo
560,region_2,100mil_mas,si,hombre,45-54,preparatoria,mas_6sm,ocupado,no,camion,eficiente,lento,barato,seguro,comodo,mucho,mucho
561,region_2,100mil_mas,si,hombre,65+,universidad,1-2sm,no_ocupado,no,masivo,eficiente,lento,caro,inseguro,incomodo,no_contamina,mucho
562,region_2,100mil_mas,si,hombre,18-24,secundaria,mas_6sm,ocupado,no,otros,eficiente,rapido,barato,seguro,comodo,mucho,algo
563,region_3,100mil_mas,no,mujer,65+,primaria,no_declaro,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,algo
564,region_1,menos_2500,no,mujer,35-44,primaria,1-2sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,nada
565,region_1,menos_2500,no,mujer,18-24,secundaria,no_declaro,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,mucho,nada
566,region_1,menos_2500,no,hombre,25-34,ninguna,3-4sm,ocupado,no,activo,eficiente,rapido,caro,seguro,comodo,poco,poco
567,region_1,menos_2500,no,mujer,18-24,primaria,2-3sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,nada
568,region_1,menos_2500,no,mujer,35-44,ninguna,1-2sm,no_ocupado,no,activo,eficiente,rapido,barato,seguro,comodo,poco,poco
569,region_4,menos_2500,no,hombre,55-64,primaria,no_declaro,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,algo
570,region_1,menos_2500,no,hombre,18-24,secundaria,2-3sm,ocupado,no,camion,eficiente,lento,caro,inseguro,incomodo,poco,poco
571,region_1,menos_2500,no,hombre,65+,ninguna,no_declaro,no_ocupado,no,camion,eficiente,lento,caro,seguro,comodo,poco,algo
572,region_1,menos_2500,no,hombre,65+,ninguna,no_declaro,no_ocupado,no,camion,eficiente,rapido,caro,inseguro,incomodo,poco,algo
573,region_1,menos_2500,no,hombre,35-44,ninguna,1-2sm,ocupado,no,particular,eficiente,lento,caro,seguro,incomodo,mucho,algo
574,region_1,menos_2500,no,hombre,25-34,secundaria,mas_6sm,ocupado,no,camion,eficiente,lento,caro,inseguro,incomodo,algo,algo
575,region_1,menos_2500,no,hombre,65+,ninguna,no_declaro,no_ocupado,no,camion,eficiente,lento,caro,seguro,incomodo,mucho,algo
576,region_1,15mil_99999,si,mujer,35-44,primaria,no_declaro,no_ocupado,no,ninguno,eficiente,lento,caro,inseguro,incomodo,algo,algo
577,region_1,15mil_99999,si,mujer,25-34,primaria,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,barato,inseguro,comodo,algo,mucho
578,region_1,15mil_99999,si,hombre,35-44,secundaria,3-4sm,ocupado,no,ninguno,eficiente,rapido,caro,inseguro,incomodo,mucho,algo
579,region_1,15mil_99999,si,mujer,25-34,primaria,2-3sm,no_ocupado,no,ninguno,eficiente,rapido,caro,inseguro,comodo,algo,algo
580,region_1,15mil_99999,si,mujer,65+,primaria,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,caro,inseguro,incomodo,algo,algo
581,region_1,100mil_mas,si,mujer,65+,primaria,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,caro,inseguro,incomodo,mucho,algo
582,region_2,100mil_mas,si,hombre,65+,primaria,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,caro,inseguro,incomodo,mucho,mucho
583,region_2,100mil_mas,si,hombre,65+,secundaria,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,caro,inseguro,incomodo,algo,algo
584,region_2,2500_14999,si,hombre,18-24,secundaria,no_declaro,no_ocupado,no,ninguno,eficiente,lento,barato,seguro,incomodo,mucho,nada
585,region_2,2500_14999,si,mujer,65+,secundaria,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,no_contamina,nada
586,region_2,2500_14999,si,hombre,18-24,secundaria,no_declaro,no_ocupado,no,colectivo,eficiente,rapido,caro,inseguro,comodo,poco,poco
587,region_2,2500_14999,si,mujer,25-34,preparatoria,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,caro,seguro,comodo,poco,poco
588,region_2,2500_14999,si,mujer,55-64,preparatoria,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,algo,algo
589,region_2,2500_14999,si,mujer,55-64,ninguna,1-2sm,no_ocupado,no,ninguno,eficiente,rapido,caro,inseguro,comodo,mucho,algo
590,region_2,100mil_mas,si,hombre,18-24,preparatoria,2-3sm,no_ocupado,no,masivo,eficiente,lento,barato,inseguro,comodo,poco,poco
591,region_2,100mil_mas,si,hombre,65+,ninguna,no_declaro,ocupado,no,masivo,eficiente,lento,caro,seguro,incomodo,mucho,algo
592,region_2,100mil_mas,si,hombre,45-54,secundaria,3-4sm,ocupado,no,camion,eficiente,rapido,caro,inseguro,comodo,algo,algo
593,region_2,100mil_mas,si,mujer,25-34,secundaria,2-3sm,no_ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,algo,algo
594,region_2,menos_2500,si,hombre,45-54,ninguna,2-3sm,ocupado,no,otros,eficiente,rapido,caro,seguro,comodo,no_contamina,poco
595,region_2,menos_2500,si,hombre,45-54,secundaria,1-2sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,poco,poco
596,region_2,menos_2500,si,hombre,35-44,secundaria,3-4sm,ocupado,no,activo,eficiente,lento,caro,seguro,comodo,no_contamina,algo
597,region_2,menos_2500,si,hombre,35-44,primaria,2-3sm,ocupado,no,ninguno,eficiente,lento,caro,inseguro,incomodo,poco,poco
598,region_2,menos_2500,si,mujer,45-54,preparatoria,3-4sm,no_ocupado,no,activo,eficiente,rapido,barato,seguro,comodo,poco,poco
599,region_2,menos_2500,si,hombre,18-24,secundaria,3-4sm,ocupado,no,colectivo,eficiente,rapido,caro,inseguro,incomodo,algo,poco
600,region_2,menos_2500,si,mujer,55-64,ninguna,2-3sm,no_ocupado,no,ninguno,eficiente,lento,caro,inseguro,incomodo,poco,poco
